"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0000009","MF","alpha-1,6-mannosyltransferase activity",3,2,0.994691614929277,1
"GO:0000012","BP","single strand break repair",14,12,0.980763549647715,1
"GO:0000014","MF","single-stranded DNA endodeoxyribonuclease activity",11,11,0.624647669370211,1
"GO:0000015","CC","phosphopyruvate hydratase complex",4,4,0.841290273903076,1
"GO:0000016","MF","lactase activity",1,1,0.957115257887297,1
"GO:0000017","BP","alpha-glucoside transport",2,2,0.91889578615433,1
"GO:0000018","BP","regulation of DNA recombination",138,134,0.29627921401568,1
"GO:0000019","BP","regulation of mitotic recombination",7,7,0.734707852079042,1
"GO:0000022","BP","mitotic spindle elongation",11,10,0.923789969182183,1
"GO:0000023","BP","maltose metabolic process",2,2,0.914547075745345,1
"GO:0000025","BP","maltose catabolic process",1,1,0.953046167721465,1
"GO:0000026","MF","alpha-1,2-mannosyltransferase activity",4,4,0.839850118809154,1
"GO:0000027","BP","ribosomal large subunit assembly",20,18,0.948549882819782,1
"GO:0000028","BP","ribosomal small subunit assembly",20,16,0.998472259061654,1
"GO:0000030","MF","mannosyltransferase activity",25,23,0.908337044660982,1
"GO:0000033","MF","alpha-1,3-mannosyltransferase activity",2,2,0.917129479014863,1
"GO:0000035","MF","acyl binding",2,2,0.91280191445716,1
"GO:0000036","MF","acyl carrier activity",1,1,0.957143009927713,1
"GO:0000038","BP","very long-chain fatty acid metabolic process",34,32,0.816167030884192,1
"GO:0000041","BP","transition metal ion transport",96,93,0.41971444987625,1
"GO:0000045","BP","autophagosome assembly",140,132,0.86060071860827,1
"GO:0000048","MF","peptidyltransferase activity",2,2,0.908262273583391,1
"GO:0000049","MF","tRNA binding",78,70,0.993760593799783,1
"GO:0000050","BP","urea cycle",11,10,0.919902211427247,1
"GO:0000052","BP","citrulline metabolic process",6,6,0.779305061120733,1
"GO:0000053","BP","argininosuccinate metabolic process",1,1,0.955343169868663,1
"GO:0000054","BP","ribosomal subunit export from nucleus",12,12,0.601044389748999,1
"GO:0000055","BP","ribosomal large subunit export from nucleus",6,6,0.772871510837142,1
"GO:0000056","BP","ribosomal small subunit export from nucleus",8,8,0.71577020398576,1
"GO:0000062","MF","fatty-acyl-CoA binding",14,14,0.545997024741961,1
"GO:0000064","MF","L-ornithine transmembrane transporter activity",4,4,0.839669324308506,1
"GO:0000070","BP","mitotic sister chromatid segregation",186,175,0.905633961589661,1
"GO:0000075","BP","cell cycle checkpoint signaling",183,175,0.636546880631327,1
"GO:0000076","BP","DNA replication checkpoint signaling",20,19,0.791282054425254,1
"GO:0000077","BP","DNA damage checkpoint signaling",113,108,0.665230188003353,1
"GO:0000079","BP","regulation of cyclin-dependent protein serine/threonine kinase activity",32,30,0.856225073568638,1
"GO:0000082","BP","G1/S transition of mitotic cell cycle",232,220,0.81167829590694,1
"GO:0000086","BP","G2/M transition of mitotic cell cycle",140,134,0.633726755873237,1
"GO:0000095","MF","S-adenosyl-L-methionine transmembrane transporter activity",1,1,0.959029168238401,1
"GO:0000096","BP","sulfur amino acid metabolic process",32,31,0.603932210145494,1
"GO:0000097","BP","sulfur amino acid biosynthetic process",15,14,0.866396595939743,1
"GO:0000098","BP","sulfur amino acid catabolic process",9,9,0.675806014678524,1
"GO:0000099","MF","sulfur amino acid transmembrane transporter activity",11,11,0.624174440660664,1
"GO:0000101","BP","sulfur amino acid transport",14,14,0.544643618121279,1
"GO:0000103","BP","sulfate assimilation",2,2,0.918182808034559,1
"GO:0000104","MF","succinate dehydrogenase activity",3,3,0.876523760502182,1
"GO:0000109","CC","nucleotide-excision repair complex",11,9,0.991092762028821,1
"GO:0000110","CC","nucleotide-excision repair factor 1 complex",3,3,0.883753365983328,1
"GO:0000111","CC","nucleotide-excision repair factor 2 complex",1,1,0.958131606660966,1
"GO:0000112","CC","nucleotide-excision repair factor 3 complex",1,0,1,1
"GO:0000118","CC","histone deacetylase complex",77,76,0.172004734074335,1
"GO:0000120","CC","RNA polymerase I transcription regulator complex",6,5,0.974574282002141,1
"GO:0000121","MF","sn-glycerol 1-phosphatase activity",1,1,0.958911027300366,1
"GO:0000122","BP","negative regulation of transcription by RNA polymerase II",926,911,4.94891737177576e-06,0.000739980978446471
"GO:0000123","CC","histone acetyltransferase complex",84,82,0.306070705957726,1
"GO:0000124","CC","SAGA complex",23,23,0.377151495627137,1
"GO:0000126","CC","transcription factor TFIIIB complex",3,2,0.994865749297663,1
"GO:0000127","CC","transcription factor TFIIIC complex",6,6,0.7742608505268,1
"GO:0000132","BP","establishment of mitotic spindle orientation",37,37,0.204685068855453,1
"GO:0000137","CC","Golgi cis cisterna",16,15,0.83134703543139,1
"GO:0000138","CC","Golgi trans cisterna",8,8,0.706755699770014,1
"GO:0000139","CC","Golgi membrane",669,650,0.0381041684552142,0.930588469606232
"GO:0000140","MF","acylglycerone-phosphate reductase (NADP+) activity",1,1,0.958531938161032,1
"GO:0000145","CC","exocyst",16,16,0.506297233074327,1
"GO:0000146","MF","microfilament motor activity",38,38,0.193518556120894,1
"GO:0000149","MF","SNARE binding",104,101,0.355603818731705,1
"GO:0000150","MF","DNA strand exchange activity",2,2,0.916491721444487,1
"GO:0000151","CC","ubiquitin ligase complex",322,310,0.396117907877262,1
"GO:0000152","CC","nuclear ubiquitin ligase complex",45,43,0.70839376436198,1
"GO:0000153","CC","cytoplasmic ubiquitin ligase complex",10,10,0.650317220752393,1
"GO:0000154","BP","rRNA modification",33,31,0.833527091897509,1
"GO:0000159","CC","protein phosphatase type 2A complex",17,17,0.493804183962074,1
"GO:0000164","CC","protein phosphatase type 1 complex",19,19,0.450829262583515,1
"GO:0000165","BP","MAPK cascade",770,754,0.00073185130130245,0.0481619509060714
"GO:0000166","MF","nucleotide binding",2014,1938,0.174597383182614,1
"GO:0000171","MF","ribonuclease MRP activity",1,1,0.953171787300731,1
"GO:0000172","CC","ribonuclease MRP complex",9,9,0.670840912682307,1
"GO:0000175","MF","3'-5'-RNA exonuclease activity",36,35,0.554073510825376,1
"GO:0000176","CC","nuclear exosome (RNase complex)",16,16,0.493178989104289,1
"GO:0000177","CC","cytoplasmic exosome (RNase complex)",14,14,0.544687010817837,1
"GO:0000178","CC","exosome (RNase complex)",20,20,0.417964732970846,1
"GO:0000179","MF","rRNA (adenine-N6,N6-)-dimethyltransferase activity",4,3,0.989655725725298,1
"GO:0000182","MF","rDNA binding",9,9,0.682167125490802,1
"GO:0000183","BP","rDNA heterochromatin formation",7,7,0.744021782852376,1
"GO:0000184","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",43,39,0.967308910974127,1
"GO:0000209","BP","protein polyubiquitination",288,276,0.565528089498059,1
"GO:0000210","MF","NAD+ diphosphatase activity",3,3,0.876776397390661,1
"GO:0000212","BP","meiotic spindle organization",22,18,0.997901932877513,1
"GO:0000213","MF","tRNA-intron lyase activity",2,2,0.915063625653935,1
"GO:0000214","CC","tRNA-intron endonuclease complex",4,4,0.838874980580543,1
"GO:0000215","MF","tRNA 2'-phosphotransferase activity",2,2,0.919078078159546,1
"GO:0000217","MF","DNA secondary structure binding",35,35,0.228431543884267,1
"GO:0000220","CC","vacuolar proton-transporting V-type ATPase, V0 domain",9,8,0.94941533448934,1
"GO:0000221","CC","vacuolar proton-transporting V-type ATPase, V1 domain",12,11,0.907040440654003,1
"GO:0000224","MF","peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity",1,1,0.960323607234429,1
"GO:0000225","MF","N-acetylglucosaminylphosphatidylinositol deacetylase activity",1,1,0.959414561143766,1
"GO:0000226","BP","microtubule cytoskeleton organization",665,644,0.10188545870211,1
"GO:0000228","CC","nuclear chromosome",222,215,0.275053289548513,1
"GO:0000235","CC","astral microtubule",10,10,0.65373592633413,1
"GO:0000242","CC","pericentriolar material",23,21,0.927334199211006,1
"GO:0000243","CC","commitment complex",5,4,0.983129385995269,1
"GO:0000244","BP","spliceosomal tri-snRNP complex assembly",26,21,0.999077951602404,1
"GO:0000245","BP","spliceosomal complex assembly",84,78,0.927594662563492,1
"GO:0000246","MF","Delta24(24-1) sterol reductase activity",1,1,0.960295905762081,1
"GO:0000248","MF","C-5 sterol desaturase activity",2,2,0.920476165379183,1
"GO:0000250","MF","lanosterol synthase activity",1,1,0.959551293337873,1
"GO:0000253","MF","3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity",5,4,0.979504441231618,1
"GO:0000254","MF","C-4 methylsterol oxidase activity",3,3,0.878345605610553,1
"GO:0000255","BP","allantoin metabolic process",10,10,0.6377942317815,1
"GO:0000256","BP","allantoin catabolic process",1,1,0.954066772495166,1
"GO:0000262","CC","mitochondrial chromosome",2,2,0.921790554608429,1
"GO:0000266","BP","mitochondrial fission",42,40,0.744704013964525,1
"GO:0000268","MF","peroxisome targeting sequence binding",5,5,0.807547654463247,1
"GO:0000270","BP","peptidoglycan metabolic process",6,6,0.75065836293268,1
"GO:0000271","BP","polysaccharide biosynthetic process",57,55,0.563742901714862,1
"GO:0000272","BP","polysaccharide catabolic process",28,27,0.661616510224908,1
"GO:0000278","BP","mitotic cell cycle",896,858,0.567536850726109,1
"GO:0000280","BP","nuclear division",444,426,0.494624101137865,1
"GO:0000281","BP","mitotic cytokinesis",95,90,0.801964878904664,1
"GO:0000285","MF","1-phosphatidylinositol-3-phosphate 5-kinase activity",3,3,0.879207619044375,1
"GO:0000287","MF","magnesium ion binding",221,214,0.284908238625582,1
"GO:0000288","BP","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",60,56,0.898199572329,1
"GO:0000289","BP","nuclear-transcribed mRNA poly(A) tail shortening",32,30,0.854710697014181,1
"GO:0000290","BP","deadenylation-dependent decapping of nuclear-transcribed mRNA",14,13,0.88632921116576,1
"GO:0000292","BP","RNA fragment catabolic process",1,1,0.957973111052614,1
"GO:0000293","MF","ferric-chelate reductase activity",3,3,0.883736731106342,1
"GO:0000295","MF","adenine nucleotide transmembrane transporter activity",20,20,0.426684137955939,1
"GO:0000296","BP","spermine transport",3,3,0.879374440773334,1
"GO:0000298","MF","endopolyphosphatase activity",2,2,0.917623961987268,1
"GO:0000301","BP","retrograde transport, vesicle recycling within Golgi",9,9,0.683724008177603,1
"GO:0000302","BP","response to reactive oxygen species",198,190,0.533397055782134,1
"GO:0000303","BP","response to superoxide",24,23,0.730739969164649,1
"GO:0000304","BP","response to singlet oxygen",1,1,0.96041114157458,1
"GO:0000305","BP","response to oxygen radical",25,24,0.715292305852012,1
"GO:0000307","CC","cyclin-dependent protein kinase holoenzyme complex",62,56,0.984760271051419,1
"GO:0000308","CC","cytoplasmic cyclin-dependent protein kinase holoenzyme complex",2,2,0.922043468098843,1
"GO:0000309","MF","nicotinamide-nucleotide adenylyltransferase activity",3,3,0.881487815890876,1
"GO:0000313","CC","organellar ribosome",86,80,0.917651408330213,1
"GO:0000314","CC","organellar small ribosomal subunit",32,30,0.83922458140819,1
"GO:0000315","CC","organellar large ribosomal subunit",54,50,0.911767225668151,1
"GO:0000320","BP","re-entry into mitotic cell cycle",3,3,0.881187273109517,1
"GO:0000322","CC","storage vacuole",2,2,0.917865499203298,1
"GO:0000323","CC","lytic vacuole",747,728,0.00857522202862197,0.336577464623412
"GO:0000332","MF","template for synthesis of G-rich strand of telomere DNA activity",1,1,0.956413786502831,1
"GO:0000333","CC","telomerase catalytic core complex",2,2,0.918663123101476,1
"GO:0000334","MF","3-hydroxyanthranilate 3,4-dioxygenase activity",1,1,0.956979608016373,1
"GO:0000338","BP","protein deneddylation",11,9,0.99053892861779,1
"GO:0000339","MF","RNA cap binding",18,17,0.832222484686058,1
"GO:0000340","MF","RNA 7-methylguanosine cap binding",12,11,0.915942040102537,1
"GO:0000346","CC","transcription export complex",11,11,0.611786859265463,1
"GO:0000347","CC","THO complex",5,5,0.792530591773009,1
"GO:0000348","BP","mRNA branch site recognition",1,1,0.948784494816426,1
"GO:0000349","BP","generation of catalytic spliceosome for first transesterification step",2,2,0.918734721872597,1
"GO:0000350","BP","generation of catalytic spliceosome for second transesterification step",2,2,0.91217218612943,1
"GO:0000353","BP","formation of quadruple SL/U4/U5/U6 snRNP",9,6,0.999274903479587,1
"GO:0000354","BP","cis assembly of pre-catalytic spliceosome",2,2,0.921249583728082,1
"GO:0000365","BP","mRNA trans splicing, via spliceosome",9,6,0.999274903479587,1
"GO:0000375","BP","RNA splicing, via transesterification reactions",314,293,0.984027721879733,1
"GO:0000377","BP","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",310,290,0.974658066283722,1
"GO:0000379","BP","tRNA-type intron splice site recognition and cleavage",3,3,0.873762632829332,1
"GO:0000380","BP","alternative mRNA splicing, via spliceosome",82,79,0.560234538437648,1
"GO:0000381","BP","regulation of alternative mRNA splicing, via spliceosome",66,64,0.484116664834069,1
"GO:0000386","MF","second spliceosomal transesterification activity",1,1,0.954226666700482,1
"GO:0000387","BP","spliceosomal snRNP assembly",50,43,0.998393595183921,1
"GO:0000388","BP","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)",1,1,0.960297838951667,1
"GO:0000389","BP","mRNA 3'-splice site recognition",6,6,0.767642638203331,1
"GO:0000390","BP","spliceosomal complex disassembly",2,2,0.919682027807178,1
"GO:0000393","BP","spliceosomal conformational changes to generate catalytic conformation",5,5,0.804983969054628,1
"GO:0000394","BP","RNA splicing, via endonucleolytic cleavage and ligation",14,13,0.883483658152767,1
"GO:0000395","BP","mRNA 5'-splice site recognition",17,15,0.95454860567217,1
"GO:0000398","BP","mRNA splicing, via spliceosome",310,290,0.974658066283722,1
"GO:0000400","MF","four-way junction DNA binding",16,16,0.514656130768296,1
"GO:0000403","MF","Y-form DNA binding",4,4,0.844959784805537,1
"GO:0000404","MF","heteroduplex DNA loop binding",1,1,0.958131606660966,1
"GO:0000405","MF","bubble DNA binding",8,8,0.715860145778636,1
"GO:0000407","CC","phagophore assembly site",38,37,0.526981815604322,1
"GO:0000408","CC","EKC/KEOPS complex",4,3,0.989491238616328,1
"GO:0000409","BP","regulation of transcription by galactose",1,1,0.959879171819224,1
"GO:0000411","BP","positive regulation of transcription by galactose",1,1,0.959879171819224,1
"GO:0000413","BP","protein peptidyl-prolyl isomerization",3,2,0.994680925435014,1
"GO:0000417","CC","HIR complex",1,1,0.954086816272952,1
"GO:0000421","CC","autophagosome membrane",53,49,0.923987147294667,1
"GO:0000422","BP","autophagy of mitochondrion",108,102,0.82655020065395,1
"GO:0000423","BP","mitophagy",91,86,0.809629000046089,1
"GO:0000425","BP","pexophagy",17,16,0.850524345826361,1
"GO:0000428","CC","DNA-directed RNA polymerase complex",94,88,0.891622232610898,1
"GO:0000429","BP","carbon catabolite regulation of transcription from RNA polymerase II promoter",5,5,0.806922786048991,1
"GO:0000430","BP","regulation of transcription from RNA polymerase II promoter by glucose",4,4,0.840606179391208,1
"GO:0000431","BP","regulation of transcription from RNA polymerase II promoter by galactose",1,1,0.959879171819224,1
"GO:0000432","BP","positive regulation of transcription from RNA polymerase II promoter by glucose",4,4,0.840606179391208,1
"GO:0000435","BP","positive regulation of transcription from RNA polymerase II promoter by galactose",1,1,0.959879171819224,1
"GO:0000436","BP","carbon catabolite activation of transcription from RNA polymerase II promoter",5,5,0.806922786048991,1
"GO:0000438","CC","core TFIIH complex portion of holo TFIIH complex",2,2,0.921439365239701,1
"GO:0000439","CC","transcription factor TFIIH core complex",10,8,0.992318918804079,1
"GO:0000444","CC","MIS12/MIND type complex",4,4,0.833162131176539,1
"GO:0000445","CC","THO complex part of transcription export complex",5,5,0.792530591773009,1
"GO:0000447","BP","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",10,10,0.649377699117282,1
"GO:0000448","BP","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",2,1,0.997979682346853,1
"GO:0000451","BP","rRNA 2'-O-methylation",3,3,0.879263795949576,1
"GO:0000454","BP","snoRNA guided rRNA pseudouridine synthesis",3,3,0.881125054790849,1
"GO:0000455","BP","enzyme-directed rRNA pseudouridine synthesis",3,3,0.876655248015295,1
"GO:0000460","BP","maturation of 5.8S rRNA",33,31,0.832825017393231,1
"GO:0000461","BP","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,1,0.952906641718889,1
"GO:0000462","BP","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",34,30,0.985346508352476,1
"GO:0000463","BP","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",17,13,0.999369779598545,1
"GO:0000466","BP","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",23,21,0.927192192390512,1
"GO:0000467","BP","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",7,7,0.737723868965801,1
"GO:0000470","BP","maturation of LSU-rRNA",26,22,0.995196006695718,1
"GO:0000472","BP","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5,5,0.81084406100866,1
"GO:0000479","BP","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",17,15,0.966226250333306,1
"GO:0000480","BP","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",8,8,0.714927760259514,1
"GO:0000481","BP","maturation of 5S rRNA",1,1,0.960344701608114,1
"GO:0000491","BP","small nucleolar ribonucleoprotein complex assembly",12,10,0.986434541743461,1
"GO:0000492","BP","box C/D snoRNP assembly",10,9,0.93010978851689,1
"GO:0000493","BP","box H/ACA snoRNP assembly",2,1,0.998390475496522,1
"GO:0000494","BP","box C/D sno(s)RNA 3'-end processing",3,3,0.872024873253759,1
"GO:0000495","BP","box H/ACA sno(s)RNA 3'-end processing",1,1,0.960258800292964,1
"GO:0000497","MF","DNA template activity",1,1,0.956413786502831,1
"GO:0000502","CC","proteasome complex",65,58,0.994300917008497,1
"GO:0000506","CC","glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex",6,5,0.972097605667093,1
"GO:0000511","MF","H2A-H2B histone complex chaperone activity",1,1,0.958820807256349,1
"GO:0000512","BP","lncRNA-mediated post-transcriptional gene silencing",8,8,0.699498571907243,1
"GO:0000514","MF","3-sulfino-L-alanine: proton, glutamate antiporter activity",2,2,0.921191054773832,1
"GO:0000515","MF","aspartate:glutamate, proton antiporter activity",2,2,0.921191054773832,1
"GO:0000578","BP","embryonic axis specification",41,39,0.758687815898269,1
"GO:0000700","MF","mismatch base pair DNA N-glycosylase activity",4,3,0.990286526215267,1
"GO:0000701","MF","purine-specific mismatch base pair DNA N-glycosylase activity",2,2,0.921963570362533,1
"GO:0000702","MF","oxidized base lesion DNA N-glycosylase activity",4,4,0.849301083637244,1
"GO:0000703","MF","oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity",2,2,0.921056052735894,1
"GO:0000706","BP","meiotic DNA double-strand break processing",3,3,0.880103891081993,1
"GO:0000707","BP","meiotic DNA recombinase assembly",2,2,0.916001305686081,1
"GO:0000708","BP","meiotic strand invasion",1,1,0.960188098881183,1
"GO:0000709","BP","meiotic joint molecule formation",1,1,0.960188098881183,1
"GO:0000710","BP","meiotic mismatch repair",1,1,0.959973814907078,1
"GO:0000711","BP","meiotic DNA repair synthesis",3,3,0.877857913274464,1
"GO:0000712","BP","resolution of meiotic recombination intermediates",16,15,0.857128576548994,1
"GO:0000715","BP","nucleotide-excision repair, DNA damage recognition",1,1,0.958131041780479,1
"GO:0000720","BP","pyrimidine dimer repair by nucleotide-excision repair",4,4,0.843547770761558,1
"GO:0000721","MF","(R,R)-butanediol dehydrogenase activity",1,1,0.953827023625028,1
"GO:0000722","BP","telomere maintenance via recombination",15,15,0.530175450603608,1
"GO:0000723","BP","telomere maintenance",159,152,0.648438751387116,1
"GO:0000724","BP","double-strand break repair via homologous recombination",185,181,0.105742279352785,1
"GO:0000725","BP","recombinational repair",191,187,0.0907147185926393,1
"GO:0000727","BP","double-strand break repair via break-induced replication",12,12,0.592974549055365,1
"GO:0000729","BP","DNA double-strand break processing",24,23,0.73351032958066,1
"GO:0000730","BP","DNA recombinase assembly",5,5,0.806382720966792,1
"GO:0000731","BP","DNA synthesis involved in DNA repair",41,40,0.481935482821579,1
"GO:0000732","BP","DNA strand displacement",1,1,0.954884915134835,1
"GO:0000741","BP","karyogamy",1,0,1,1
"GO:0000768","BP","syncytium formation by plasma membrane fusion",64,63,0.239111986513788,1
"GO:0000773","MF","phosphatidyl-N-methylethanolamine N-methyltransferase activity",1,1,0.960437612143771,1
"GO:0000774","MF","adenyl-nucleotide exchange factor activity",15,12,0.997005198275045,1
"GO:0000775","CC","chromosome, centromeric region",253,240,0.812261430744727,1
"GO:0000776","CC","kinetochore",168,161,0.585113710329356,1
"GO:0000779","CC","condensed chromosome, centromeric region",179,171,0.655994320120711,1
"GO:0000781","CC","chromosome, telomeric region",169,164,0.277704480874556,1
"GO:0000782","CC","telomere cap complex",13,13,0.569344375100707,1
"GO:0000783","CC","nuclear telomere cap complex",13,13,0.569344375100707,1
"GO:0000785","CC","chromatin",1322,1294,1.12623762841896e-05,0.00143922692282841
"GO:0000786","CC","nucleosome",116,108,0.921371915649837,1
"GO:0000791","CC","euchromatin",59,57,0.547970849883228,1
"GO:0000792","CC","heterochromatin",81,78,0.560869370964439,1
"GO:0000793","CC","condensed chromosome",274,263,0.508161369132378,1
"GO:0000794","CC","condensed nuclear chromosome",76,73,0.590491895706392,1
"GO:0000795","CC","synaptonemal complex",36,36,0.201791914673975,1
"GO:0000796","CC","condensin complex",8,7,0.957574707224135,1
"GO:0000800","CC","lateral element",15,15,0.516867040829634,1
"GO:0000801","CC","central element",7,7,0.72707188204497,1
"GO:0000802","CC","transverse filament",1,1,0.95876346295119,1
"GO:0000803","CC","sex chromosome",34,34,0.235206460337261,1
"GO:0000805","CC","X chromosome",10,10,0.660411027233291,1
"GO:0000806","CC","Y chromosome",2,2,0.92083297167962,1
"GO:0000808","CC","origin recognition complex",8,7,0.955649295561529,1
"GO:0000810","MF","diacylglycerol diphosphate phosphatase activity",3,3,0.875706189020439,1
"GO:0000811","CC","GINS complex",5,5,0.793469998947336,1
"GO:0000812","CC","Swr1 complex",13,12,0.902876122111035,1
"GO:0000813","CC","ESCRT I complex",12,10,0.987536466975985,1
"GO:0000814","CC","ESCRT II complex",3,3,0.883221851144799,1
"GO:0000815","CC","ESCRT III complex",11,9,0.989369701297192,1
"GO:0000819","BP","sister chromatid segregation",227,214,0.901383476770229,1
"GO:0000820","BP","regulation of glutamine family amino acid metabolic process",7,7,0.73917338796934,1
"GO:0000821","BP","regulation of arginine metabolic process",5,5,0.801443554523111,1
"GO:0000822","MF","inositol hexakisphosphate binding",4,4,0.848598924689928,1
"GO:0000823","MF","inositol-1,4,5-trisphosphate 6-kinase activity",1,0,1,1
"GO:0000824","MF","inositol-1,4,5,6-tetrakisphosphate 3-kinase activity",1,0,1,1
"GO:0000825","MF","inositol-1,3,4,5-tetrakisphosphate 6-kinase activity",2,1,0.998118407154909,1
"GO:0000827","MF","inositol-1,3,4,5,6-pentakisphosphate kinase activity",5,5,0.797269473811607,1
"GO:0000828","MF","inositol hexakisphosphate kinase activity",8,8,0.702170770087268,1
"GO:0000829","MF","diphosphoinositol pentakisphosphate kinase activity",5,5,0.797269473811607,1
"GO:0000831","MF","inositol hexakisphosphate 6-kinase activity",1,1,0.953487293861625,1
"GO:0000832","MF","inositol hexakisphosphate 5-kinase activity",5,5,0.797269473811607,1
"GO:0000835","CC","ER ubiquitin ligase complex",7,7,0.741487860533072,1
"GO:0000836","CC","Hrd1p ubiquitin ligase complex",6,6,0.773686806616897,1
"GO:0000839","CC","Hrd1p ubiquitin ligase ERAD-L complex",2,2,0.919728752785516,1
"GO:0000900","MF","mRNA regulatory element binding translation repressor activity",17,16,0.844403451869738,1
"GO:0000902","BP","cell morphogenesis",978,968,3.74423675831228e-09,1.78909399886313e-06
"GO:0000910","BP","cytokinesis",184,177,0.498634332670259,1
"GO:0000912","BP","assembly of actomyosin apparatus involved in cytokinesis",9,9,0.688348439229135,1
"GO:0000915","BP","actomyosin contractile ring assembly",9,9,0.688348439229135,1
"GO:0000916","BP","actomyosin contractile ring contraction",1,1,0.959688595253324,1
"GO:0000921","BP","septin ring assembly",1,1,0.959385718385265,1
"GO:0000922","CC","spindle pole",175,167,0.686263443033817,1
"GO:0000930","CC","gamma-tubulin complex",17,14,0.99474517419102,1
"GO:0000931","CC","gamma-tubulin ring complex",10,8,0.991646514984571,1
"GO:0000932","CC","P-body",99,93,0.878482191222581,1
"GO:0000938","CC","GARP complex",5,5,0.814420450926393,1
"GO:0000939","CC","inner kinetochore",18,17,0.824463928966843,1
"GO:0000940","CC","outer kinetochore",20,19,0.783330342130166,1
"GO:0000956","BP","nuclear-transcribed mRNA catabolic process",124,116,0.924900741913018,1
"GO:0000957","BP","mitochondrial RNA catabolic process",8,6,0.996422842189308,1
"GO:0000958","BP","mitochondrial mRNA catabolic process",5,3,0.999296937841717,1
"GO:0000959","BP","mitochondrial RNA metabolic process",59,55,0.897249641895957,1
"GO:0000960","BP","regulation of mitochondrial RNA catabolic process",5,3,0.999293889368136,1
"GO:0000961","BP","negative regulation of mitochondrial RNA catabolic process",2,1,0.998056925538363,1
"GO:0000962","BP","positive regulation of mitochondrial RNA catabolic process",3,2,0.99507978142345,1
"GO:0000963","BP","mitochondrial RNA processing",25,21,0.996391514664104,1
"GO:0000964","BP","mitochondrial RNA 5'-end processing",3,3,0.880928572906162,1
"GO:0000965","BP","mitochondrial RNA 3'-end processing",7,5,0.997266571385787,1
"GO:0000966","BP","RNA 5'-end processing",37,34,0.928268170932259,1
"GO:0000967","BP","rRNA 5'-end processing",5,5,0.81084406100866,1
"GO:0000972","BP","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery",7,7,0.75027911196052,1
"GO:0000973","BP","post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery",3,3,0.884552834983643,1
"GO:0000974","CC","Prp19 complex",14,11,0.997784995463815,1
"GO:0000976","MF","transcription cis-regulatory region binding",1350,1324,9.50245370965105e-07,0.00020679597281003
"GO:0000977","MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding",1254,1231,8.45718123035367e-07,0.000196515915051246
"GO:0000978","MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding",1058,1042,2.49133716497649e-07,6.76044331928187e-05
"GO:0000979","MF","RNA polymerase II core promoter sequence-specific DNA binding",19,19,0.44441399941684,1
"GO:0000981","MF","DNA-binding transcription factor activity, RNA polymerase II-specific",1244,1224,6.46557347546256e-08,2.22052039047917e-05
"GO:0000987","MF","cis-regulatory region sequence-specific DNA binding",1082,1066,1.25690044039776e-07,3.89108051830179e-05
"GO:0000992","MF","RNA polymerase III cis-regulatory region sequence-specific DNA binding",7,7,0.741242008976022,1
"GO:0000993","MF","RNA polymerase II complex binding",35,34,0.565491938460153,1
"GO:0000994","MF","RNA polymerase III core binding",1,1,0.957619310962767,1
"GO:0000995","MF","RNA polymerase III general transcription initiation factor activity",12,11,0.907840809632071,1
"GO:0001002","MF","RNA polymerase III type 1 promoter sequence-specific DNA binding",3,3,0.880644440332954,1
