"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0003245","BP","cardiac muscle tissue growth involved in heart morphogenesis",2,2,0.905297741440691,1
"GO:0003249","BP","cell proliferation involved in heart valve morphogenesis",3,3,0.88566544393745,1
"GO:0003250","BP","regulation of cell proliferation involved in heart valve morphogenesis",3,3,0.88566544393745,1
"GO:0003251","BP","positive regulation of cell proliferation involved in heart valve morphogenesis",1,1,0.960257293767691,1
"GO:0003252","BP","negative regulation of cell proliferation involved in heart valve morphogenesis",2,2,0.922323511249926,1
"GO:0003253","BP","cardiac neural crest cell migration involved in outflow tract morphogenesis",10,10,0.654943886279814,1
"GO:0003254","BP","regulation of membrane depolarization",51,50,0.359021478414533,1
"GO:0003259","BP","cardioblast anterior-lateral migration",1,1,0.955427675027016,1
"GO:0003260","BP","cardioblast migration",1,1,0.955427675027016,1
"GO:0003263","BP","cardioblast proliferation",11,10,0.925430867822514,1
"GO:0003264","BP","regulation of cardioblast proliferation",11,10,0.925430867822514,1
"GO:0003266","BP","regulation of secondary heart field cardioblast proliferation",9,9,0.69195187911909,1
"GO:0003270","BP","Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation",1,1,0.960442712702922,1
"GO:0003271","BP","smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation",1,1,0.960358757971838,1
"GO:0003272","BP","endocardial cushion formation",28,28,0.302542186419912,1
"GO:0003273","BP","cell migration involved in endocardial cushion formation",4,4,0.846343826777979,1
"GO:0003274","BP","endocardial cushion fusion",5,5,0.81310708456145,1
"GO:0003275","BP","apoptotic process involved in outflow tract morphogenesis",3,3,0.881973817752101,1
"GO:0003278","BP","apoptotic process involved in heart morphogenesis",6,6,0.780398717995429,1
"GO:0003279","BP","cardiac septum development",114,110,0.499857235648882,1
"GO:0003281","BP","ventricular septum development",77,73,0.792845538317837,1
"GO:0003283","BP","atrial septum development",23,23,0.382826112137825,1
"GO:0003284","BP","septum primum development",6,6,0.782805976209613,1
"GO:0003285","BP","septum secundum development",3,3,0.885082322446857,1
"GO:0003289","BP","atrial septum primum morphogenesis",5,5,0.816164717572947,1
"GO:0003290","BP","atrial septum secundum morphogenesis",2,2,0.922467506066865,1
"GO:0003292","BP","cardiac septum cell differentiation",5,5,0.811068883664179,1
"GO:0003294","BP","atrial ventricular junction remodeling",1,1,0.959122412782754,1
"GO:0003298","BP","physiological muscle hypertrophy",31,31,0.242238774726226,1
"GO:0003299","BP","muscle hypertrophy in response to stress",34,33,0.556169137195186,1
"GO:0003300","BP","cardiac muscle hypertrophy",103,101,0.166317306552418,1
"GO:0003301","BP","physiological cardiac muscle hypertrophy",31,31,0.242238774726226,1
"GO:0003306","BP","Wnt signaling pathway involved in heart development",1,1,0.958416385122677,1
"GO:0003307","BP","regulation of Wnt signaling pathway involved in heart development",1,1,0.958416385122677,1
"GO:0003308","BP","negative regulation of Wnt signaling pathway involved in heart development",1,1,0.958416385122677,1
"GO:0003309","BP","type B pancreatic cell differentiation",31,31,0.264949923977388,1
"GO:0003310","BP","pancreatic A cell differentiation",10,10,0.660001346956383,1
"GO:0003311","BP","pancreatic D cell differentiation",2,2,0.915173447829447,1
"GO:0003312","BP","pancreatic PP cell differentiation",2,2,0.921973170542877,1
"GO:0003318","BP","cell migration to the midline involved in heart development",1,1,0.955427675027016,1
"GO:0003321","BP","positive regulation of blood pressure by epinephrine-norepinephrine",4,4,0.84231539002359,1
"GO:0003322","BP","pancreatic A cell development",1,1,0.960475931606727,1
"GO:0003323","BP","type B pancreatic cell development",24,24,0.360106840638205,1
"GO:0003326","BP","pancreatic A cell fate commitment",2,2,0.921973170542877,1
"GO:0003327","BP","type B pancreatic cell fate commitment",1,1,0.960195183110648,1
"GO:0003329","BP","pancreatic PP cell fate commitment",2,2,0.921973170542877,1
"GO:0003330","BP","regulation of extracellular matrix constituent secretion",8,8,0.703090556044979,1
