"","Description","N","DE","P.DE","FDR"
"hsa05214","Glioma",75,75,0.0425979892176242,0.202749154526733
"hsa05215","Prostate cancer",103,103,0.0126307737603241,0.11460116680099
"hsa05216","Thyroid cancer",37,37,0.211619022766158,0.473030108674498
"hsa05217","Basal cell carcinoma",63,63,0.0715278252916697,0.267329399886806
"hsa05218","Melanoma",71,71,0.050290123170301,0.215033630107494
"hsa05219","Bladder cancer",40,39,0.503087240425687,0.742652593009348
"hsa05220","Chronic myeloid leukemia",75,75,0.0428180376930879,0.202749154526733
"hsa05221","Acute myeloid leukemia",65,65,0.063416436555526,0.253665746222104
"hsa05222","Small cell lung cancer",89,86,0.502757004389309,0.742652593009348
"hsa05223","Non-small cell lung cancer",72,72,0.0491658265777763,0.212670784731777
"hsa05224","Breast cancer",146,146,0.00217770950881983,0.0405053968640488
"hsa05225","Hepatocellular carcinoma",163,163,0.000953899647277554,0.0253464763419464
"hsa05226","Gastric cancer",148,148,0.00196810002836022,0.0405053968640488
"hsa05230","Central carbon metabolism in cancer",68,66,0.451641314126134,0.699614094046342
"hsa05231","Choline metabolism in cancer",96,93,0.42970908908232,0.683010660175013
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",89,88,0.108501941160978,0.337520801933839
"hsa05310","Asthma",24,24,0.325869370130824,0.571808517399371
"hsa05320","Autoimmune thyroid disease",39,39,0.151644650701196,0.402941500434607
"hsa05321","Inflammatory bowel disease",58,58,0.079381239284935,0.283940586673037
"hsa05322","Systemic lupus erythematosus",116,108,0.912012784500649,0.984919589961158
"hsa05323","Rheumatoid arthritis",85,83,0.278083681442464,0.536024634936613
"hsa05330","Allograft rejection",28,28,0.27953972897232,0.536024634936613
"hsa05332","Graft-versus-host disease",31,31,0.233280587841567,0.485720797995541
"hsa05340","Primary immunodeficiency",33,33,0.229030619689097,0.485720797995541
"hsa05410","Hypertrophic cardiomyopathy",96,96,0.0169701636621894,0.127725721353228
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",83,83,0.0301824488000072,0.165115749317686
"hsa05414","Dilated cardiomyopathy",101,101,0.0138718955986881,0.119464512026822
"hsa05415","Diabetic cardiomyopathy",180,174,0.353860903629666,0.600208402596737
"hsa05416","Viral myocarditis",58,57,0.287973528603042,0.543787576854475
"hsa05417","Lipid and atherosclerosis",204,200,0.0589743746684593,0.241082059084251
"hsa05418","Fluid shear stress and atherosclerosis",134,134,0.00300614065204152,0.0447313729023779
