"","Description","N","DE","P.DE","FDR"
"hsa04670","Leukocyte transendothelial migration",109,108,0.0548892905798009,0.230973081795866
"hsa04672","Intestinal immune network for IgA production",40,38,0.741264896773626,0.91006779405871
"hsa04710","Circadian rhythm",34,34,0.237900588494275,0.488944855910885
"hsa04713","Circadian entrainment",96,96,0.0173392615884153,0.127725721353228
"hsa04714","Thermogenesis",213,206,0.313326215364823,0.568572449344947
"hsa04720","Long-term potentiation",64,63,0.251037923984085,0.502075847968169
"hsa04721","Synaptic vesicle cycle",78,76,0.354961958524952,0.600208402596737
"hsa04722","Neurotrophin signaling pathway",115,114,0.045723015404081,0.204927249762869
"hsa04723","Retrograde endocannabinoid signaling",134,131,0.17873758451601,0.443269209599705
"hsa04724","Glutamatergic synapse",115,114,0.0452664959758142,0.204927249762869
"hsa04725","Cholinergic synapse",112,112,0.00863031746556848,0.0895122954013746
"hsa04726","Serotonergic synapse",108,108,0.00870074053353306,0.0895122954013746
"hsa04727","GABAergic synapse",84,84,0.0273875512784367,0.154366198114825
"hsa04728","Dopaminergic synapse",129,128,0.0268680636947278,0.153767995299057
"hsa04730","Long-term depression",58,58,0.0837419662560645,0.293886900445811
"hsa04740","Olfactory transduction",337,332,0.000266686006642944,0.00909326749810123
"hsa04742","Taste transduction",83,83,0.0235577891447223,0.143663894456339
"hsa04744","Phototransduction",27,27,0.302981060187541,0.557965120741411
"hsa04750","Inflammatory mediator regulation of TRP channels",98,98,0.0157255770435336,0.127172057830316
"hsa04810","Regulation of actin cytoskeleton",222,218,0.0423264528443298,0.202749154526733
"hsa04814","Motor proteins",192,188,0.088370832002691,0.301233561227493
"hsa04820","Cytoskeleton in muscle cells",225,225,6.58506264058975e-05,0.00408273883716565
"hsa04910","Insulin signaling pathway",132,132,0.00367982929501415,0.0500334221892303
"hsa04911","Insulin secretion",83,83,0.0296226987886864,0.16447229775211
"hsa04912","GnRH signaling pathway",91,91,0.02023337269541,0.13204937969636
"hsa04913","Ovarian steroidogenesis",51,51,0.104269630844076,0.328714429440646
"hsa04914","Progesterone-mediated oocyte maturation",91,86,0.818946321386407,0.941968877529487
"hsa04915","Estrogen signaling pathway",137,136,0.0192275279456472,0.127725721353228
"hsa04916","Melanogenesis",101,101,0.0141302110999467,0.119464512026822
"hsa04917","Prolactin signaling pathway",71,71,0.0479117731750977,0.209684466131016
"hsa04918","Thyroid hormone synthesis",73,73,0.0436019687154265,0.202749154526733
"hsa04919","Thyroid hormone signaling pathway",118,117,0.0424318197713328,0.202749154526733
"hsa04920","Adipocytokine signaling pathway",67,66,0.229276447943031,0.485720797995541
"hsa04921","Oxytocin signaling pathway",151,150,0.0123689921299585,0.11460116680099
"hsa04922","Glucagon signaling pathway",99,97,0.207178119209767,0.472966042484512
"hsa04923","Regulation of lipolysis in adipocytes",57,57,0.0866474501640394,0.301233561227493
"hsa04924","Renin secretion",68,67,0.216169673318991,0.473030108674498
"hsa04925","Aldosterone synthesis and secretion",94,94,0.0186792072370096,0.127725721353228
"hsa04926","Relaxin signaling pathway",126,126,0.00460693894958091,0.0571260429748033
"hsa04927","Cortisol synthesis and secretion",62,62,0.0727080289770751,0.267329399886806
